Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,salary_imputed_flag,flights_2017,distance_2017,points_earned_2017,points_redeemed_2017,dollar_redeemed_2017,active_months_2017,flights_2018,Silent_Churn_Flag,Formally_Cancelled,education_rank,card_rank,is_married,Cluster,Churn_Risk_Score,Strategic_Segment
988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,73510.0,Single,Star,3871.07,Standard,2013,10,,,1,38,55010,55010.0,679,122,12,25,0,0,2,1,0,3,0.0,Single Frequent Flyers
286114,Canada,Ontario,Toronto,M2M 7K8,Female,College,73510.0,Single,Star,3872.22,Standard,2016,11,,,1,14,19232,19232.0,1165,209,6,12,0,0,2,1,0,3,0.019607843831181526,Single Frequent Flyers
205785,Canada,Ontario,Toronto,M2M 6J7,Male,Master,128118.0,Married,Star,3873.65,Standard,2016,8,,,0,27,40831,40831.0,1233,222,9,8,0,0,4,1,1,2,0.0036796103231608868,Married Loyalists
735304,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,128118.0,Married,Star,3873.65,Standard,2016,12,,,0,9,16132,16132.0,608,109,6,20,0,0,4,1,1,1,0.019607843831181526,At-Risk Infrequent Flyers
438936,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092.0,Married,Star,3878.77,Standard,2013,10,,,0,29,37432,37432.0,0,0,9,23,0,0,3,1,1,2,0.0,Married Loyalists
354730,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,73510.0,Married,Star,3885.46,Standard,2014,10,2018.0,1.0,1,20,36872,36872.0,0,0,8,0,1,1,2,1,1,2,0.015625,Married Loyalists
413741,Canada,Ontario,Toronto,M1R 4K3,Female,College,73510.0,Married,Star,3885.46,Standard,2015,7,,,1,22,42474,42474.0,1410,253,8,14,0,0,2,1,1,2,0.010416666977107525,Married Loyalists
642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,73510.0,Married,Star,3885.46,Standard,2016,3,,,1,19,23282,23282.0,1506,271,8,14,0,0,2,1,1,2,0.010416666977107525,Married Loyalists
263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,73510.0,Single,Star,3886.5,Standard,2014,5,,,1,14,16998,16998.0,0,0,4,15,0,0,2,1,0,3,0.13725490868091583,Single Frequent Flyers
109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,,,0,19,31203,31203.0,1151,207,11,25,0,0,3,1,0,3,0.0,Single Frequent Flyers
217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,,,0,20,33727,33727.0,0,0,7,12,0,0,3,1,0,3,0.019607843831181526,Single Frequent Flyers
157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,,,0,28,36212,36212.0,0,0,11,20,0,0,3,1,1,2,0.0,Married Loyalists
557752,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629.0,Married,Star,3890.87,Standard,2017,10,,,0,5,11255,11255.0,0,0,1,17,0,0,3,1,1,1,0.16410256922245026,At-Risk Infrequent Flyers
608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,,,0,13,24928,24928.0,0,0,7,27,0,0,3,1,1,1,0.015625,At-Risk Infrequent Flyers
599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,,,0,37,68642,68642.0,983,177,12,21,0,0,3,1,1,2,0.010416666977107525,Married Loyalists
333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,73510.0,Married,Star,3891.58,Standard,2014,3,,,1,14,19704,19704.0,0,0,4,28,0,0,2,1,1,1,0.13725490868091583,At-Risk Infrequent Flyers
403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,3895.03,Standard,2017,10,,,0,3,6183,6183.0,0,0,1,16,0,0,3,1,0,1,0.16410256922245026,At-Risk Infrequent Flyers
543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,,,0,30,41922,41922.0,1987,357,10,22,0,0,1,1,1,2,0.0,Married Loyalists
119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,,,0,10,14956,14956.0,0,0,4,21,0,0,3,1,0,1,0.16410256922245026,At-Risk Infrequent Flyers
238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,,,0,25,38650,38650.0,0,0,8,25,0,0,3,1,1,2,0.015625,Married Loyalists
730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,73510.0,Single,Star,3907.03,Standard,2012,5,,,1,23,34172,34172.0,0,0,8,26,0,0,2,1,0,3,0.0,Single Frequent Flyers
127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,73510.0,Single,Star,3914.72,Standard,2014,6,,,1,13,15098,15098.0,528,95,5,16,0,0,2,1,0,1,0.1190476194024086,At-Risk Infrequent Flyers
324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,73510.0,Single,Star,3914.72,Standard,2013,2,,,1,16,25904,25904.0,645,116,8,18,0,0,2,1,0,3,0.015625,Single Frequent Flyers
742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,73510.0,Single,Star,3915.8,Standard,2016,5,,,1,13,23503,23503.0,0,0,4,15,0,0,2,1,0,3,0.13725490868091583,Single Frequent Flyers
536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,,,0,23,28799,28799.0,0,0,7,33,0,0,3,1,1,2,0.015625,Married Loyalists
704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,,,0,18,26459,26459.0,963,173,7,22,0,0,3,1,1,2,0.015625,Married Loyalists
733338,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,6,2017.0,2.0,0,3,4497,4497.0,0,0,1,0,1,1,3,1,1,1,0.16410256922245026,At-Risk Infrequent Flyers
612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,73510.0,Married,Star,3920.51,Standard,2015,2,,,1,17,26824,26824.0,569,102,7,18,0,0,2,1,1,2,0.015625,Married Loyalists
679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,,,0,24,39398,39398.0,535,96,9,12,0,0,3,1,1,2,0.015625,Married Loyalists
704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,,,0,19,23665,23665.0,409,74,8,17,0,0,3,1,1,2,0.019607843831181526,Married Loyalists
869743,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236.0,Single,Star,3924.42,Standard,2016,11,2017.0,7.0,0,15,16548,16548.0,0,0,5,0,1,1,3,1,0,1,0.0746268630027771,At-Risk Infrequent Flyers
596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,,,0,30,51941,51941.0,0,0,9,14,0,0,3,1,0,3,0.010416666977107525,Single Frequent Flyers
370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,,,0,16,20586,20586.0,1382,249,6,28,0,0,1,1,1,1,0.015625,At-Risk Infrequent Flyers
501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,,,0,17,19608,19608.0,0,0,7,9,0,0,3,1,1,1,0.015625,At-Risk Infrequent Flyers
878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,,,0,27,34014,34014.0,0,0,7,17,0,0,5,1,1,0,0.015625,Elite Professionals (Low-Frequency)
285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,,,0,22,34494,34494.0,0,0,8,18,0,0,3,1,1,2,0.015625,Married Loyalists
588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,,,0,23,22941,22941.0,939,169,8,10,0,0,3,1,1,2,0.015625,Married Loyalists
645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,,,0,26,28662,28662.0,813,146,9,17,0,0,3,1,1,2,0.0,Married Loyalists
864324,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2018,6,,,0,18,24458,24458.0,588,106,7,25,0,0,3,1,1,2,0.019607843831181526,Married Loyalists
124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2013,6,,,0,26,42652,42652.0,304,55,9,25,0,0,5,1,1,0,0.015625,Elite Professionals (Low-Frequency)
186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,9,,,0,16,26002,26002.0,0,0,5,25,0,0,5,1,1,0,0.04316546767950058,Elite Professionals (Low-Frequency)
589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,8,,,0,27,49010,49010.0,718,129,8,25,0,0,5,1,1,0,0.010416666977107525,Elite Professionals (Low-Frequency)
623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,3954.34,Standard,2016,5,,,0,28,48235,48235.0,690,124,9,26,0,0,5,1,1,0,0.0,Elite Professionals (Low-Frequency)
256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,73510.0,Married,Star,3958.0,Standard,2012,9,,,1,26,42247,42247.0,339,61,9,20,0,0,2,1,1,2,0.010416666977107525,Married Loyalists
140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,3963.39,Standard,2013,7,,,0,15,15254,15254.0,567,102,7,17,0,0,3,1,1,1,0.015625,At-Risk Infrequent Flyers
230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,3964.15,Standard,2012,5,,,0,29,43406,43406.0,822,148,9,20,0,0,5,1,0,0,0.015625,Elite Professionals (Low-Frequency)
972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,3964.53,Standard,2016,2,,,0,16,20391,20391.0,639,115,8,12,0,0,1,1,1,1,0.010416666977107525,At-Risk Infrequent Flyers
910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,3966.13,Standard,2012,11,,,0,8,18109,18109.0,0,0,4,24,0,0,3,1,1,1,0.1666666716337204,At-Risk Infrequent Flyers
501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,73510.0,Divorced,Star,3974.86,Standard,2013,5,,,1,18,16769,16769.0,2034,366,5,21,0,0,2,1,0,3,0.13725490868091583,Single Frequent Flyers
529098,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,73510.0,Divorced,Star,3974.86,Standard,2017,10,,,1,5,6230,6230.0,467,84,1,19,0,0,2,1,0,1,0.16410256922245026,At-Risk Infrequent Flyers
567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,3979.72,Standard,2017,5,,,0,4,9037,9037.0,0,0,3,11,0,0,3,1,1,1,0.13725490868091583,At-Risk Infrequent Flyers
688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,3980.42,Standard,2013,3,,,0,11,15613,15613.0,1993,359,5,13,0,0,3,1,1,1,0.1190476194024086,At-Risk Infrequent Flyers
269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,3985.32,Standard,2013,1,,,0,28,35858,35858.0,673,121,11,14,0,0,4,1,1,2,0.0,Married Loyalists
387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,3985.32,Standard,2013,4,,,0,20,30308,30308.0,472,85,6,25,0,0,4,1,1,2,0.019607843831181526,Married Loyalists
923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,3985.55,Standard,2016,6,,,0,32,36863,36863.0,412,74,10,9,0,0,3,1,0,3,0.0,Single Frequent Flyers
654748,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,65721.0,Married,Star,3996.77,Standard,2017,4,2017.0,12.0,0,12,16433,16433.0,0,0,5,0,1,1,3,1,1,1,0.13725490868091583,At-Risk Infrequent Flyers
114835,Canada,Ontario,Toronto,M1R 4K3,Female,Master,101354.0,Divorced,Star,4001.52,Standard,2017,7,,,0,8,11280,11280.0,0,0,4,22,0,0,4,1,0,1,0.16410256922245026,At-Risk Infrequent Flyers
328936,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118.0,Married,Star,4005.72,Standard,2015,3,,,0,27,30411,30411.0,906,163,9,18,0,0,3,1,1,2,0.0,Married Loyalists
845864,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440.0,Married,Star,4013.85,Standard,2013,4,,,0,26,32118,32118.0,1376,248,8,15,0,0,5,1,1,2,0.0,Married Loyalists
645265,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313.0,Married,Star,4013.95,Standard,2013,3,,,0,17,27182,27182.0,0,0,8,15,0,0,3,1,1,2,0.015625,Married Loyalists
223587,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,100167.0,Married,Star,4013.96,Standard,2017,8,,,0,10,18618,18618.0,554,100,4,18,0,0,3,1,1,1,0.16410256922245026,At-Risk Infrequent Flyers
158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2015,12,,,0,15,22952,22952.0,1250,225,6,18,0,0,3,1,1,1,0.015625,At-Risk Infrequent Flyers
417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2014,5,,,0,19,31357,31357.0,607,109,6,17,0,0,3,1,1,2,0.019607843831181526,Married Loyalists
425854,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079.0,Married,Star,4016.13,Standard,2016,11,,,0,22,34662,34662.0,630,113,7,15,0,0,1,1,1,2,0.010416666977107525,Married Loyalists
695855,Canada,Quebec,Montreal,H2T 2J6,Female,College,73510.0,Divorced,Star,4019.38,Standard,2013,4,,,1,15,24299,24299.0,436,78,9,19,0,0,2,1,0,3,0.015625,Single Frequent Flyers
699511,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,73510.0,Divorced,Star,4019.38,Standard,2014,7,,,1,20,30672,30672.0,0,0,7,8,0,0,2,1,0,3,0.019607843831181526,Single Frequent Flyers
377322,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,62518.0,Married,Star,4023.81,Standard,2016,5,,,0,27,55363,55363.0,1059,191,8,27,0,0,3,1,1,2,0.0,Married Loyalists
511053,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,62518.0,Married,Star,4023.81,Standard,2015,3,,,0,15,25061,25061.0,802,145,6,11,0,0,3,1,1,2,0.019607843831181526,Married Loyalists
890753,Canada,Quebec,Montreal,H2Y 2W2,Male,College,73510.0,Married,Star,4025.1,Standard,2017,9,,,1,5,10400,10400.0,723,130,1,18,0,0,2,1,1,1,0.16410256922245026,At-Risk Infrequent Flyers
796670,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536.0,Married,Star,4035.68,Standard,2014,2,,,0,30,47222,47222.0,420,76,9,15,0,0,3,1,1,2,0.015625,Married Loyalists
556136,Canada,Quebec,Montreal,H4G 3T4,Female,College,73510.0,Married,Star,4035.77,Standard,2017,1,,,1,18,17599,17599.0,521,94,8,21,0,0,2,1,1,1,0.015625,At-Risk Infrequent Flyers
513081,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98320.0,Married,Star,4037.5,Standard,2015,11,,,0,12,22756,22756.0,995,180,7,12,0,0,3,1,1,1,0.015625,At-Risk Infrequent Flyers
930718,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577.0,Married,Star,4037.55,Standard,2015,7,,,0,26,29787,29787.0,1088,196,9,27,0,0,1,1,1,2,0.0,Married Loyalists
235872,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2013,3,,,0,26,41976,41976.0,1221,220,7,18,0,0,5,1,0,3,0.015625,Single Frequent Flyers
881142,Canada,British Columbia,Vancouver,V1E 4R6,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2016,9,2017.0,5.0,0,9,9859,9859.0,870,157,5,0,1,1,5,1,0,1,0.16410256922245026,At-Risk Infrequent Flyers
295147,Canada,British Columbia,Kelowna,V09 2E9,Male,Bachelor,99814.0,Married,Star,4048.16,Standard,2017,5,,,0,15,23429,23429.0,968,174,5,17,0,0,3,1,1,2,0.019607843831181526,Married Loyalists
306110,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,64587.0,Married,Star,4053.37,Standard,2013,5,,,0,10,14465,14465.0,797,143,5,19,0,0,3,1,1,1,0.0746268630027771,At-Risk Infrequent Flyers
295217,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,67411.0,Divorced,Star,4059.57,Standard,2016,6,,,0,10,19259,19259.0,1034,186,5,19,0,0,5,1,0,1,0.0746268630027771,At-Risk Infrequent Flyers
591731,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,51370.0,Married,Star,4064.18,Standard,2013,9,,,0,24,39625,39625.0,645,116,10,23,0,0,3,1,1,2,0.010416666977107525,Married Loyalists
326905,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,73510.0,Married,Star,4068.09,Standard,2017,2,,,1,19,24066,24066.0,0,0,6,15,0,0,2,1,1,2,0.019607843831181526,Married Loyalists
375511,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,59300.0,Single,Star,4070.05,Standard,2014,7,,,0,26,36951,36951.0,1084,195,9,24,0,0,3,1,0,3,0.015625,Single Frequent Flyers
485283,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,102479.0,Single,Star,4072.85,Standard,2017,9,,,0,2,3106,3106.0,0,0,2,17,0,0,3,1,0,1,0.0746268630027771,At-Risk Infrequent Flyers
797685,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,73510.0,Married,Star,4079.13,Standard,2017,6,,,1,10,11302,11302.0,822,148,4,21,0,0,2,1,1,1,0.13725490868091583,At-Risk Infrequent Flyers
216467,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2014,7,,,0,14,23278,23278.0,0,0,7,18,0,0,5,1,1,2,0.019607843831181526,Married Loyalists
539673,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,49558.0,Married,Star,4087.51,Standard,2015,2,2018.0,6.0,0,22,30575,30575.0,498,90,8,4,0,1,3,1,1,2,0.015625,Married Loyalists
484718,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,76367.0,Single,Star,4089.46,Standard,2012,6,,,0,17,33867,33867.0,554,100,7,19,0,0,3,1,0,3,0.015625,Single Frequent Flyers
528492,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,60360.0,Married,Star,4090.75,Standard,2015,6,2018.0,11.0,0,23,48972,48972.0,821,147,8,18,0,1,3,1,1,2,0.015625,Married Loyalists
632793,Canada,Quebec,Hull,J8Y 3Z5,Female,High School or Below,60370.0,Single,Star,4097.37,Standard,2016,6,,,0,17,15913,15913.0,506,91,8,16,0,0,1,1,0,3,0.015625,Single Frequent Flyers
382197,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69367.0,Married,Star,4100.47,Standard,2017,10,2018.0,6.0,0,1,768,768.0,0,0,1,12,0,1,3,1,1,1,0.16410256922245026,At-Risk Infrequent Flyers
705196,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,73510.0,Single,Star,4101.94,Standard,2013,11,,,1,28,49630,49630.0,0,0,9,29,0,0,2,1,0,3,0.0,Single Frequent Flyers
119488,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,73510.0,Single,Star,4108.26,Standard,2017,6,,,1,13,13658,13658.0,0,0,4,20,0,0,2,1,0,1,0.16410256922245026,At-Risk Infrequent Flyers
287750,Canada,Ontario,Ottawa,K1F 2R2,Female,College,73510.0,Single,Star,4109.31,Standard,2012,8,,,1,19,27901,27901.0,1213,219,8,29,0,0,2,1,0,3,0.0,Single Frequent Flyers
735846,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,95318.0,Married,Star,4109.79,Standard,2012,8,,,0,6,6373,6373.0,1197,215,4,34,0,0,3,1,1,1,0.06849315017461777,At-Risk Infrequent Flyers
606026,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,55207.0,Single,Star,4110.62,Standard,2015,7,,,0,27,40394,40394.0,504,91,11,23,0,0,3,1,0,3,0.015625,Single Frequent Flyers
460291,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,55476.0,Divorced,Star,4111.2,Standard,2015,9,,,0,18,34272,34272.0,0,0,6,23,0,0,3,1,0,3,0.04316546767950058,Single Frequent Flyers
743001,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2017,5,,,0,8,10682,10682.0,393,71,2,21,0,0,3,1,1,1,0.13725490868091583,At-Risk Infrequent Flyers
869799,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2015,3,,,0,7,7485,7485.0,0,0,3,22,0,0,3,1,1,1,0.0746268630027771,At-Risk Infrequent Flyers
279419,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,73510.0,Single,Star,4117.37,Standard,2013,7,,,1,41,69113,69113.0,1354,243,15,40,0,0,2,1,0,3,0.0,Single Frequent Flyers
170585,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2013,8,,,0,17,27484,27484.0,405,73,7,17,0,0,3,1,0,3,0.015625,Single Frequent Flyers
188340,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2017,4,,,0,20,21772,21772.0,992,179,6,31,0,0,3,1,0,3,0.019607843831181526,Single Frequent Flyers
670817,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2016,12,,,0,21,30421,30421.0,682,123,8,23,0,0,3,1,0,3,0.0,Single Frequent Flyers
509513,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,73510.0,Single,Star,4121.25,Standard,2012,12,,,1,25,51305,51305.0,576,104,8,24,0,0,2,1,0,3,0.010416666977107525,Single Frequent Flyers
779247,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,86987.0,Married,Star,4122.57,Standard,2012,9,,,0,25,30732,30732.0,0,0,7,25,0,0,3,1,1,2,0.015625,Married Loyalists
111255,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,70272.0,Married,Star,4122.96,Standard,2013,3,,,0,23,31829,31829.0,0,0,9,25,0,0,1,1,1,2,0.0,Married Loyalists
763061,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,56845.0,Married,Star,4126.61,Standard,2014,4,,,0,11,21633,21633.0,515,93,4,5,0,0,3,1,1,1,0.16410256922245026,At-Risk Infrequent Flyers
428919,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,58209.0,Divorced,Star,4139.9,Standard,2015,7,,,0,16,24503,24503.0,0,0,7,19,0,0,3,1,0,3,0.0746268630027771,Single Frequent Flyers
139863,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,67223.0,Married,Star,4142.56,Standard,2015,10,,,0,16,33709,33709.0,857,154,6,14,0,0,3,1,1,2,0.019607843831181526,Married Loyalists
355331,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,73510.0,Divorced,Star,4145.02,Standard,2013,7,,,1,31,42129,42129.0,1915,344,10,20,0,0,2,1,0,3,0.015625,Single Frequent Flyers
